region_id,area,population,pop_density,pop_russians,pop_ukranians,pct_russian_speakers
ck,20891,1291135,61.8,122308,1381742,6.66
cn,31851,1104241,34.67,96562,1292106,10.26
crimea,26100,1966801,75,1629542,625919,76.55
cv,8094,903782,111.67,63066,666095,5.27
dn,26506,4448031,167.81,2316091,2693432,74.92
dp,31901,3344073,104.83,935749,2769560,31.91
if,13894,1380770,99.38,57005,1342888,1.78
kh,31402,2755177,87.74,1054207,1992976,44.29
kiev,28119,1719602,61.15,167938,1729240,7.17
km,20636,1331534,64.52,88018,1374749,4.09
kr,24578,1014809,41.29,144076,1046984,10.02
ks,28449,1091151,38.35,249522,936944,24.86
lg,26673,2300412,86.25,1279043,1482232,68.84
lviv,21824,2545634,116.65,195116,2464739,3.77
mk,24587,1186452,48.25,257964,1003591,29.26
od,33296,2387636,71.71,719039,1432737,41.95
pl,28736,1493668,51.98,178965,1536630,9.47
rv,20039,1152576,57.52,53634,1085729,2.73
sm,23824,1166765,48.97,190050,1220487,15.5
te,13817,1086694,78.65,26610,1126395,1.19
uz,12772,1246323,97.59,49458,976749,2.9
vn,26502,1646250,62.12,112484,1757948,4.74
volyn,20135,1038223,51.56,46900,1001329,2.51
zp,27169,1805431,66.45,664085,1308038,48.19
zt,29819,1283201,43.03,121443,1306140,6.57
